sheet,cell,row,col_letter,col_idx,header,code,category,value,type
Approved,F18,18,F,6,2009,EXP_ECON_SOC_ASS_EXE,Social Assistance,1590600000,int
Approved,G18,18,G,7,2010,EXP_ECON_SOC_ASS_EXE,Social Assistance,2005400000,int
Approved,H18,18,H,8,2011,EXP_ECON_SOC_ASS_EXE,Social Assistance,2248400000,int
Approved,I18,18,I,9,2012,EXP_ECON_SOC_ASS_EXE,Social Assistance,455900000,int
Approved,J18,18,J,10,2013,EXP_ECON_SOC_ASS_EXE,Social Assistance,485800000,int
Approved,K18,18,K,11,2014,EXP_ECON_SOC_ASS_EXE,Social Assistance,3018300000,int
Approved,L18,18,L,12,2015,EXP_ECON_SOC_ASS_EXE,Social Assistance,3789400000,int
Approved,F19,19,F,6,2009,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,7100700000,int
Approved,G19,19,G,7,2010,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,7696400000,int
Approved,H19,19,H,8,2011,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,8237800000,int
Approved,I19,19,I,9,2012,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,10515100000,int
Approved,J19,19,J,10,2013,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,11514500000,int
Approved,K19,19,K,11,2014,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,10370900000,int
Approved,L19,19,L,12,2015,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,11159100000,int
Executed,F18,18,F,6,2009,EXP_ECON_SOC_ASS_EXE,Social Assistance,1590600000,int
Executed,G18,18,G,7,2010,EXP_ECON_SOC_ASS_EXE,Social Assistance,2005400000,int
Executed,H18,18,H,8,2011,EXP_ECON_SOC_ASS_EXE,Social Assistance,2248400000,int
Executed,I18,18,I,9,2012,EXP_ECON_SOC_ASS_EXE,Social Assistance,455900000,int
Executed,J18,18,J,10,2013,EXP_ECON_SOC_ASS_EXE,Social Assistance,485800000,int
Executed,K18,18,K,11,2014,EXP_ECON_SOC_ASS_EXE,Social Assistance,3018300000,int
Executed,L18,18,L,12,2015,EXP_ECON_SOC_ASS_EXE,Social Assistance,3789400000,int
Executed,F19,19,F,6,2009,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,7100700000,int
Executed,G19,19,G,7,2010,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,7696400000,int
Executed,H19,19,H,8,2011,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,8237800000,int
Executed,I19,19,I,9,2012,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,10515100000,int
Executed,J19,19,J,10,2013,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,11514500000,int
Executed,K19,19,K,11,2014,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,10370900000,int
Executed,L19,19,L,12,2015,EXP_ECON_SOC_BEN_PEN_EXE,Pensions,11159100000,int
