level,group,code_a,code_b,year,rows,Approved,Executed
econ_sub,Correction,EXP_ECON_COR_HIG_RIG_EXE,EXP_ECON_COR_LOW_RIG_EXE,2018.0,25.0,0.0,17676085.63
econ_sub,Correction,EXP_ECON_COR_HIG_RIG_EXE,EXP_ECON_COR_LOW_RIG_EXE,2019.0,28.0,0.0,181518541.19
econ_sub,Correction,EXP_ECON_COR_HIG_RIG_EXE,EXP_ECON_COR_LOW_RIG_EXE,2020.0,25.0,0.0,1065017935.59
econ_sub,Correction,EXP_ECON_COR_HIG_RIG_EXE,EXP_ECON_COR_LOW_RIG_EXE,2021.0,23.0,0.0,5818075683.76
econ_sub,Correction,EXP_ECON_COR_HIG_RIG_EXE,EXP_ECON_COR_LOW_RIG_EXE,2022.0,31.0,0.0,31841531467.48
econ_sub,Correction,EXP_ECON_COR_HIG_RIG_EXE,EXP_ECON_COR_LOW_RIG_EXE,2023.0,29.0,0.0,130886540125.3
func_sub,Economic affairs,EXP_FUNC_AGR_EXE,EXP_FUNC_IRR_EXE,2018.0,101.0,0.0,14284689.08
func_sub,Economic affairs,EXP_FUNC_AGR_EXE,EXP_FUNC_IRR_EXE,2019.0,161.0,0.0,48808008.9
func_sub,Economic affairs,EXP_FUNC_AGR_EXE,EXP_FUNC_IRR_EXE,2020.0,163.0,0.0,410179041.36
func_sub,Economic affairs,EXP_FUNC_AGR_EXE,EXP_FUNC_IRR_EXE,2021.0,226.0,0.0,1072066856.86
func_sub,Economic affairs,EXP_FUNC_AGR_EXE,EXP_FUNC_IRR_EXE,2022.0,283.0,0.0,5466646530.45
func_sub,Economic affairs,EXP_FUNC_AGR_EXE,EXP_FUNC_IRR_EXE,2023.0,356.0,0.0,21267827574.26
func_sub,Economic affairs,EXP_FUNC_AIR_TRA_EXE,EXP_FUNC_TRA_EXE,2018.0,1.0,0.0,51156505.0
func_sub,Economic affairs,EXP_FUNC_AIR_TRA_EXE,EXP_FUNC_TRA_EXE,2019.0,24.0,0.0,24282516.450000003
func_sub,Economic affairs,EXP_FUNC_AIR_TRA_EXE,EXP_FUNC_TRA_EXE,2020.0,29.0,0.0,579106112.57
func_sub,Economic affairs,EXP_FUNC_AIR_TRA_EXE,EXP_FUNC_TRA_EXE,2021.0,27.0,0.0,1893397680.36
func_sub,Economic affairs,EXP_FUNC_AIR_TRA_EXE,EXP_FUNC_TRA_EXE,2022.0,28.0,0.0,2963644392.95
func_sub,Economic affairs,EXP_FUNC_AIR_TRA_EXE,EXP_FUNC_TRA_EXE,2023.0,28.0,0.0,13130010777.02
func_sub,Economic affairs,EXP_FUNC_RAI_EXE,EXP_FUNC_TRA_EXE,2020.0,1.0,0.0,30000000.0
func_sub,Economic affairs,EXP_FUNC_RAI_EXE,EXP_FUNC_TRA_EXE,2021.0,1.0,0.0,250000000.0
func_sub,Economic affairs,EXP_FUNC_RAI_EXE,EXP_FUNC_TRA_EXE,2022.0,1.0,0.0,1891760000.0
func_sub,Economic affairs,EXP_FUNC_RAI_EXE,EXP_FUNC_TRA_EXE,2023.0,1.0,0.0,6799392561.65
func_sub,Economic affairs,EXP_FUNC_ROA_EXE,EXP_FUNC_TRA_EXE,2019.0,205.0,0.0,670429987.53
func_sub,Economic affairs,EXP_FUNC_ROA_EXE,EXP_FUNC_TRA_EXE,2020.0,348.0,0.0,11876690669.980001
func_sub,Economic affairs,EXP_FUNC_ROA_EXE,EXP_FUNC_TRA_EXE,2021.0,325.0,0.0,28430522916.01
func_sub,Economic affairs,EXP_FUNC_ROA_EXE,EXP_FUNC_TRA_EXE,2022.0,438.0,0.0,156353499048.18
func_sub,Economic affairs,EXP_FUNC_ROA_EXE,EXP_FUNC_TRA_EXE,2023.0,289.0,0.0,910391032877.77
func_sub,Economic affairs,EXP_FUNC_TRA_EXE,EXP_FUNC_WAT_TRA_EXE,2019.0,84.0,0.0,340589.61
func_sub,Economic affairs,EXP_FUNC_TRA_EXE,EXP_FUNC_WAT_TRA_EXE,2020.0,105.0,0.0,7902123.83
func_sub,Economic affairs,EXP_FUNC_TRA_EXE,EXP_FUNC_WAT_TRA_EXE,2021.0,94.0,0.0,35858308.089999996
func_sub,Economic affairs,EXP_FUNC_TRA_EXE,EXP_FUNC_WAT_TRA_EXE,2022.0,93.0,0.0,122777486.19
func_sub,Economic affairs,EXP_FUNC_TRA_EXE,EXP_FUNC_WAT_TRA_EXE,2023.0,101.0,0.0,1060240666.38
